Order ID,Order Date,Region,Segment,Category,Sub-Category,Quantity,Unit Price (NGN),Discount,Sales (NGN),Profit (NGN)
NG-2025000,2025-05-21,Lagos,Small Business,Technology,Phones,4,98800.0,0.2,395200.0,92523.36
NG-2025001,2025-01-17,Ibadan,Corporate,Technology,Phones,1,83200.0,0.15,83200.0,8999.35
NG-2025002,2025-04-23,Ibadan,Corporate,Furniture,Tables,8,101100.0,0.0,808800.0,107813.57
NG-2025003,2025-03-21,Port Harcourt,Corporate,Furniture,Storage,4,132400.0,0.0,529600.0,-17048.84
NG-2025004,2025-11-06,Port Harcourt,Corporate,Office Supplies,Binders,5,6300.0,0.15,31500.0,8896.64
NG-2025005,2025-05-31,Lagos,Small Business,Furniture,Storage,11,103600.0,0.15,1139600.0,172760.41
NG-2025006,2025-04-27,Lagos,Small Business,Furniture,Chairs,5,134700.0,0.0,673500.0,100594.77
NG-2025007,2025-07-06,Kano,Small Business,Office Supplies,Labels,3,4400.0,0.0,13200.0,2011.37
NG-2025008,2025-03-29,Ibadan,Small Business,Technology,Phones,9,159500.0,0.1,1435500.0,130416.07
NG-2025009,2025-04-28,Port Harcourt,Consumer,Office Supplies,Paper,1,6300.0,0.0,6300.0,1261.83
NG-2025010,2025-09-13,Abuja,Small Business,Furniture,Bookcases,7,126200.0,0.0,883400.0,66253.37
NG-2025011,2025-10-15,Abuja,Small Business,Office Supplies,Paper,9,3900.0,0.15,35100.0,8639.74
NG-2025012,2025-09-18,Abuja,Consumer,Office Supplies,Labels,8,3100.0,0.0,24800.0,2772.12
NG-2025013,2025-02-02,Kano,Small Business,Furniture,Tables,7,83400.0,0.15,583800.0,115967.48
NG-2025014,2025-10-02,Lagos,Small Business,Office Supplies,Binders,5,6200.0,0.0,31000.0,5736.36
NG-2025015,2025-05-15,Kano,Consumer,Office Supplies,Paper,9,6100.0,0.0,54900.0,12457.93
NG-2025016,2025-04-12,Ibadan,Small Business,Technology,Copiers,3,116900.0,0.15,350700.0,31698.81
NG-2025017,2025-02-27,Kano,Consumer,Furniture,Bookcases,6,125700.0,0.0,754200.0,106404.75
NG-2025018,2025-02-10,Abuja,Small Business,Furniture,Chairs,2,113200.0,0.15,226400.0,30701.68
NG-2025019,2025-03-26,Kano,Small Business,Furniture,Tables,5,95900.0,0.0,479500.0,29876.62
NG-2025020,2025-12-10,Port Harcourt,Corporate,Technology,Accessories,11,116800.0,0.1,1284800.0,353196.04
NG-2025021,2025-06-23,Abuja,Consumer,Furniture,Tables,1,101000.0,0.0,101000.0,-7015.44
NG-2025022,2025-02-04,Lagos,Consumer,Furniture,Chairs,1,124100.0,0.0,124100.0,-15537.31
NG-2025023,2025-03-09,Abuja,Small Business,Office Supplies,Envelopes,12,6900.0,0.1,82800.0,20100.59
NG-2025024,2025-02-18,Kano,Consumer,Furniture,Storage,2,107000.0,0.1,214000.0,-5563.11
NG-2025025,2025-07-26,Lagos,Consumer,Office Supplies,Binders,12,4200.0,0.0,50400.0,15897.07
NG-2025026,2025-03-13,Ibadan,Corporate,Furniture,Tables,7,66600.0,0.0,466200.0,5557.02
NG-2025027,2025-10-04,Lagos,Small Business,Office Supplies,Binders,1,7100.0,0.0,7100.0,2354.3
NG-2025028,2025-04-20,Kano,Corporate,Furniture,Storage,7,127700.0,0.0,893900.0,-82575.81
NG-2025029,2025-08-05,Kano,Corporate,Office Supplies,Labels,12,7000.0,0.15,84000.0,29303.88
NG-2025030,2025-06-01,Abuja,Consumer,Technology,Laptops,4,188200.0,0.15,752800.0,146641.73
NG-2025031,2025-10-27,Lagos,Consumer,Furniture,Bookcases,8,93700.0,0.0,749600.0,111279.59
NG-2025032,2025-11-01,Abuja,Consumer,Furniture,Chairs,2,108400.0,0.0,216800.0,-14672.73
NG-2025033,2025-01-21,Ibadan,Small Business,Technology,Accessories,10,81800.0,0.15,818000.0,175332.81
NG-2025034,2025-12-09,Port Harcourt,Consumer,Technology,Copiers,12,109700.0,0.0,1316400.0,153233.74
NG-2025035,2025-02-07,Kano,Corporate,Technology,Copiers,1,127000.0,0.0,127000.0,38050.93
NG-2025036,2025-03-09,Ibadan,Corporate,Furniture,Tables,6,125900.0,0.0,755400.0,119160.26
NG-2025037,2025-12-27,Kano,Small Business,Office Supplies,Paper,5,5500.0,0.2,27500.0,9537.23
NG-2025038,2025-12-06,Ibadan,Corporate,Technology,Phones,2,184700.0,0.0,369400.0,30871.78
NG-2025039,2025-11-06,Port Harcourt,Corporate,Furniture,Tables,4,112000.0,0.2,448000.0,-35275.94
NG-2025040,2025-02-17,Port Harcourt,Consumer,Office Supplies,Envelopes,11,4600.0,0.0,50600.0,8560.0
NG-2025041,2025-08-15,Port Harcourt,Consumer,Office Supplies,Paper,9,5900.0,0.0,53100.0,12756.04
NG-2025042,2025-07-09,Ibadan,Consumer,Furniture,Tables,10,98000.0,0.0,980000.0,416.84
NG-2025043,2025-04-18,Lagos,Corporate,Office Supplies,Labels,11,3800.0,0.15,41800.0,5254.19
NG-2025044,2025-04-01,Abuja,Consumer,Office Supplies,Paper,7,2800.0,0.0,19600.0,5569.17
NG-2025045,2025-12-26,Port Harcourt,Consumer,Office Supplies,Paper,2,4400.0,0.1,8800.0,965.19
NG-2025046,2025-06-06,Kano,Corporate,Furniture,Tables,4,69900.0,0.1,279600.0,22650.85
NG-2025047,2025-06-29,Lagos,Corporate,Office Supplies,Labels,11,5000.0,0.15,55000.0,14843.37
NG-2025048,2025-04-02,Lagos,Corporate,Office Supplies,Binders,10,7000.0,0.0,70000.0,11645.66
NG-2025049,2025-06-10,Port Harcourt,Small Business,Technology,Laptops,7,144700.0,0.1,1012900.0,180150.1
NG-2025050,2025-12-29,Port Harcourt,Consumer,Technology,Accessories,7,72200.0,0.15,505400.0,142216.42
NG-2025051,2025-02-05,Port Harcourt,Corporate,Technology,Accessories,11,182500.0,0.2,2007500.0,413121.12
NG-2025052,2025-12-08,Ibadan,Corporate,Furniture,Bookcases,7,78700.0,0.15,550900.0,51797.24
NG-2025053,2025-07-14,Kano,Small Business,Furniture,Tables,11,114600.0,0.15,1260600.0,-112307.4
NG-2025054,2025-06-05,Ibadan,Consumer,Office Supplies,Envelopes,5,3600.0,0.15,18000.0,5335.91
NG-2025055,2025-08-15,Kano,Corporate,Technology,Copiers,11,97600.0,0.2,1073600.0,180683.17
NG-2025056,2025-12-06,Port Harcourt,Small Business,Furniture,Chairs,11,103600.0,0.0,1139600.0,-133691.58
NG-2025057,2025-03-17,Abuja,Consumer,Technology,Copiers,1,77500.0,0.15,77500.0,22938.76
NG-2025058,2025-10-22,Kano,Small Business,Furniture,Storage,4,112100.0,0.1,448400.0,-6998.42
NG-2025059,2025-08-06,Lagos,Consumer,Furniture,Tables,4,66000.0,0.15,264000.0,48916.06
NG-2025060,2025-03-04,Ibadan,Consumer,Office Supplies,Binders,8,3300.0,0.15,26400.0,5706.65
NG-2025061,2025-09-16,Kano,Small Business,Technology,Copiers,7,171700.0,0.0,1201900.0,224716.82
NG-2025062,2025-05-07,Kano,Corporate,Technology,Laptops,11,105300.0,0.1,1158300.0,283110.19
NG-2025063,2025-02-09,Port Harcourt,Corporate,Technology,Accessories,12,106300.0,0.0,1275600.0,150429.95
NG-2025064,2025-04-29,Abuja,Consumer,Technology,Phones,7,155300.0,0.0,1087100.0,246342.06
NG-2025065,2025-08-27,Port Harcourt,Small Business,Office Supplies,Envelopes,7,3000.0,0.1,21000.0,6472.68
NG-2025066,2025-09-02,Ibadan,Corporate,Technology,Phones,1,185100.0,0.1,185100.0,23073.3
NG-2025067,2025-05-20,Kano,Consumer,Office Supplies,Paper,7,4900.0,0.2,34300.0,6764.45
NG-2025068,2025-03-07,Abuja,Corporate,Technology,Laptops,10,136100.0,0.15,1361000.0,376632.55
NG-2025069,2025-08-08,Lagos,Small Business,Technology,Phones,3,176000.0,0.0,528000.0,50388.23
NG-2025070,2025-06-17,Abuja,Corporate,Office Supplies,Labels,6,6100.0,0.1,36600.0,7129.0
NG-2025071,2025-10-04,Kano,Consumer,Office Supplies,Binders,1,7200.0,0.2,7200.0,1349.93
NG-2025072,2025-04-13,Lagos,Consumer,Furniture,Chairs,1,103800.0,0.1,103800.0,-6903.66
NG-2025073,2025-08-27,Ibadan,Consumer,Technology,Phones,12,102700.0,0.15,1232400.0,175276.6
NG-2025074,2025-02-25,Abuja,Corporate,Technology,Phones,10,75100.0,0.2,751000.0,96119.97
NG-2025075,2025-10-31,Abuja,Consumer,Office Supplies,Envelopes,12,6400.0,0.2,76800.0,12342.71
NG-2025076,2025-06-27,Ibadan,Consumer,Office Supplies,Binders,9,4600.0,0.15,41400.0,7975.41
NG-2025077,2025-09-08,Lagos,Corporate,Technology,Copiers,2,124000.0,0.1,248000.0,34855.66
NG-2025078,2025-09-25,Kano,Consumer,Technology,Accessories,11,104400.0,0.15,1148400.0,289454.0
NG-2025079,2025-10-31,Kano,Small Business,Office Supplies,Envelopes,5,4200.0,0.0,21000.0,3388.85
NG-2025080,2025-10-19,Abuja,Corporate,Office Supplies,Envelopes,10,5700.0,0.1,57000.0,10493.65
NG-2025081,2025-07-01,Kano,Consumer,Office Supplies,Paper,5,4200.0,0.2,21000.0,6721.68
NG-2025082,2025-02-13,Ibadan,Consumer,Office Supplies,Binders,4,5900.0,0.0,23600.0,5242.61
NG-2025083,2025-01-09,Kano,Corporate,Technology,Laptops,2,107300.0,0.0,214600.0,32426.12
NG-2025084,2025-09-29,Kano,Small Business,Office Supplies,Labels,6,4600.0,0.0,27600.0,7906.95
NG-2025085,2025-05-09,Port Harcourt,Corporate,Office Supplies,Envelopes,4,3200.0,0.0,12800.0,1896.27
NG-2025086,2025-09-05,Abuja,Consumer,Technology,Accessories,5,159000.0,0.15,795000.0,233850.65
NG-2025087,2025-06-01,Lagos,Consumer,Technology,Copiers,4,115300.0,0.2,461200.0,57911.45
NG-2025088,2025-01-28,Port Harcourt,Consumer,Technology,Accessories,9,107100.0,0.2,963900.0,275696.99
NG-2025089,2025-05-26,Lagos,Small Business,Office Supplies,Binders,8,4900.0,0.0,39200.0,7258.92
NG-2025090,2025-07-25,Lagos,Consumer,Office Supplies,Envelopes,8,3000.0,0.0,24000.0,6176.67
NG-2025091,2025-02-13,Ibadan,Corporate,Furniture,Tables,4,61100.0,0.15,244400.0,28730.49
NG-2025092,2025-08-19,Ibadan,Corporate,Technology,Accessories,8,107700.0,0.1,861600.0,169848.31
NG-2025093,2025-02-20,Ibadan,Small Business,Office Supplies,Binders,4,5500.0,0.0,22000.0,3655.55
NG-2025094,2025-02-08,Abuja,Small Business,Furniture,Tables,3,51200.0,0.15,153600.0,1179.08
NG-2025095,2025-05-28,Lagos,Consumer,Office Supplies,Labels,12,4000.0,0.0,48000.0,15115.28
NG-2025096,2025-10-29,Port Harcourt,Small Business,Technology,Accessories,11,168500.0,0.0,1853500.0,184339.48
NG-2025097,2025-03-14,Abuja,Corporate,Technology,Accessories,2,79200.0,0.15,158400.0,39308.09
NG-2025098,2025-08-28,Kano,Consumer,Technology,Copiers,12,108500.0,0.0,1302000.0,196116.52
NG-2025099,2025-11-03,Kano,Consumer,Technology,Laptops,1,178700.0,0.15,178700.0,41750.3
NG-2025100,2025-12-12,Lagos,Consumer,Office Supplies,Binders,10,5300.0,0.2,53000.0,5574.88
NG-2025101,2025-09-23,Abuja,Corporate,Office Supplies,Binders,11,4700.0,0.15,51700.0,8765.17
NG-2025102,2025-06-28,Lagos,Corporate,Office Supplies,Envelopes,7,4200.0,0.0,29400.0,7865.48
NG-2025103,2025-12-06,Kano,Corporate,Office Supplies,Envelopes,7,6400.0,0.1,44800.0,10641.08
NG-2025104,2025-03-01,Port Harcourt,Corporate,Furniture,Bookcases,7,124500.0,0.0,871500.0,120898.42
NG-2025105,2025-04-07,Kano,Consumer,Technology,Laptops,9,115400.0,0.2,1038600.0,248340.46
NG-2025106,2025-10-09,Abuja,Corporate,Office Supplies,Binders,3,6900.0,0.2,20700.0,4337.25
NG-2025107,2025-11-08,Lagos,Small Business,Office Supplies,Binders,4,5900.0,0.0,23600.0,4193.43
NG-2025108,2025-02-28,Lagos,Consumer,Technology,Laptops,8,185600.0,0.0,1484800.0,314669.84
NG-2025109,2025-05-20,Ibadan,Small Business,Office Supplies,Labels,7,6500.0,0.0,45500.0,15700.28
NG-2025110,2025-11-03,Kano,Consumer,Office Supplies,Paper,9,6100.0,0.0,54900.0,7363.58
NG-2025111,2025-05-17,Port Harcourt,Small Business,Office Supplies,Envelopes,1,4000.0,0.15,4000.0,698.56
NG-2025112,2025-10-03,Abuja,Corporate,Technology,Laptops,8,113400.0,0.15,907200.0,170534.87
NG-2025113,2025-12-24,Port Harcourt,Consumer,Office Supplies,Envelopes,4,5300.0,0.1,21200.0,3357.88
